frequency,exposure,duty_cycle,video_name,pattern_id,model,unaltered,hidden,misplaced,appeared
25,32,40.0,b1e1a7b8-b397c445,500,ssd_inception_v2_coco_2018_01_28,230,51,11,12
25,32,40.0,b1e1a7b8-b397c445,540,ssd_inception_v2_coco_2018_01_28,292,0,0,3
25,32,40.0,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,291,1,0,0
25,32,40.0,b1e1a7b8-b397c445,680,ssd_inception_v2_coco_2018_01_28,237,42,13,13
25,32,50.0,b1e1a7b8-b397c445,380,faster_rcnn_inception_v2_coco_2018_01_28,367,47,36,39
25,32,50.0,b1e1a7b8-b397c445,400,faster_rcnn_inception_v2_coco_2018_01_28,433,4,13,16
25,32,50.0,b1e1a7b8-b397c445,520,faster_rcnn_inception_v2_coco_2018_01_28,367,52,31,30
25,32,50.0,b1e1a7b8-b397c445,380,ssd_inception_v2_coco_2018_01_28,231,48,13,14
25,32,50.0,b1e1a7b8-b397c445,400,ssd_inception_v2_coco_2018_01_28,288,3,1,3
25,32,50.0,b1e1a7b8-b397c445,520,ssd_inception_v2_coco_2018_01_28,232,44,16,13
25,50,0.1,b1e1a7b8-b397c445,420,faster_rcnn_inception_v2_coco_2018_01_28,443,3,4,8
25,50,0.1,b1e1a7b8-b397c445,620,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,1
25,50,0.1,b1e1a7b8-b397c445,420,ssd_inception_v2_coco_2018_01_28,289,3,0,1
25,50,0.1,b1e1a7b8-b397c445,620,ssd_inception_v2_coco_2018_01_28,291,1,0,2
25,50,0.5,b1e1a7b8-b397c445,400,faster_rcnn_inception_v2_coco_2018_01_28,446,2,2,1
25,50,0.5,b1e1a7b8-b397c445,460,faster_rcnn_inception_v2_coco_2018_01_28,445,4,1,8
25,50,0.5,b1e1a7b8-b397c445,660,faster_rcnn_inception_v2_coco_2018_01_28,418,19,13,14
25,50,0.5,b1e1a7b8-b397c445,400,ssd_inception_v2_coco_2018_01_28,288,4,0,2
25,50,0.5,b1e1a7b8-b397c445,460,ssd_inception_v2_coco_2018_01_28,290,2,0,2
25,50,0.5,b1e1a7b8-b397c445,660,ssd_inception_v2_coco_2018_01_28,251,30,11,3
25,50,1.0,b1e1a7b8-b397c445,520,faster_rcnn_inception_v2_coco_2018_01_28,450,0,0,0
25,50,1.0,b1e1a7b8-b397c445,540,faster_rcnn_inception_v2_coco_2018_01_28,443,4,3,4
